id	yield	reactant_smiles	solvent_smiles	base_smiles	product_smiles	catalyst_smiles
1	19.59429	Nc1ccc(C)cc1.Ic1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1nccc1-c1ccccc1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
2	25.07366	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1nccc1-c1ccccc1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
3	22.45065	Nc1ccc(C)cc1.Ic1ccc(CC)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.o1nccc1-c1ccccc1	CS(=O)C	CN1CCCN2C1=NCCC2	CCC1=CC=C(C=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
4	3.60668	Nc1ccc(C)cc1.Clc1ccc(C(F)(F)F)cc1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC(=CC=C1C(F)(F)F)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
5	59.47674	Nc1ccc(C)cc1.Ic1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
6	70.62989	Nc1ccc(C)cc1.Ic1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.O(CC)C(=O)c1cc(C)no1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
7	28.7515	Nc1ccc(C)cc1.Brc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.O(CC)C(=O)c1cc(C)on1	CS(=O)C	CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
8	51.21654	Nc1ccc(C)cc1.Brc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.O(CC)C(=O)c1cc(C)on1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
9	56.51667	Nc1ccc(C)cc1.Brc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C1CCCCC1)C1CCCCC1.O(CC)C(=O)c1cc(C)on1	CS(=O)C	CN1CCCN2C1=NCCC2	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
10	68.84655	Nc1ccc(C)cc1.Clc1ccccn1.P(c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C)(C(C)(C)C)C(C)(C)C.o1nccc1-c1ccccc1	CS(=O)C	CC(C)(C)N=C(N(C)C)N(C)C	C1=CC=NC(=C1)NC2=CC=C(C=C2)C	CC(=O)[O-].CC(=O)[O-].[Pd+2]
